Target,Padre_Isotopo,Padre_T1_2,Modo_Decay,Porcentaje,Branching_Ratio,Hijo_Isotopo,Hijo_T1_2,Hijo_Lambda,Padre_Fuente,Hijo_Fuente
Eu-151,Eu-152,4.28e+08 s,β-,27.90%,0.279,Gd-152,0.108 Py,2.03E-22,BD_Local,RadioactiveDecay
Re-185,Re-186,3.21e+05 s,β-,92.53%,0.9253,Os-186,2.0 Py,1.10E-23,BD_Local,RadioactiveDecay
W-186,W-187,8.54e+04 s,β-,100.00%,1,Re-187,41.2 By,5.33E-19,BD_Local,RadioactiveDecay
Er-170,Er-171,2.71e+04 s,β-,100.00%,1,Tm-171,6.08e+07 s,1.14E-08,BD_Local,BD_Local
Sm-154,Sm-155,1.34e+03 s,β-,100.00%,1,Eu-155,1.50e+08 s,4.61E-09,BD_Local,BD_Local
Th-232,Th-233,1.34e+03 s,β-,100.00%,1,Pa-233,26.967 d,2.97E-07,BD_Local,RadioactiveDecay
Pt-198,Pt-199,1.85e+03 s,β-,100.00%,1,Au-199,3.139 d,2.56E-06,BD_Local,RadioactiveDecay
Os-192,Os-193,1.08e+05 s,β-,0.35%,0.0034757,Ir-193m,10.53 d,7.62E-07,BD_Local,RadioactiveDecay
Yb-176,Yb-177,6.88e+03 s,β-,100.00%,1,Lu-177,1.39e+07 s,1.21E-06,BD_Local,BD_Local
U-238,U-239,1.41e+03 s,β-,100.00%,1,Np-239,2.3565 d,3.40E-06,BD_Local,RadioactiveDecay
Nd-148,Nd-149,6.23e+03 s,β-,100.00%,1,Pm-149,53.08 h,3.63E-06,BD_Local,RadioactiveDecay
Nd-146,Nd-147,9.48e+05 s,β-,100.00%,1,Pm-147,8.27e+07 s,8.38E-09,BD_Local,BD_Local
Ru-102,Ru-103,3.40e+06 s,β-,98.76%,0.98755,Rh-103m,56.114 m,0.000205875,BD_Local,RadioactiveDecay
Ca-48,Ca-49,5.23e+02 s,β-,100.00%,1,Sc-49,57.2 m,0.000201966,BD_Local,RadioactiveDecay
Nd-150,Nd-151,7.46e+02 s,β-,100.00%,1,Pm-151,28.40 h,6.78E-06,BD_Local,RadioactiveDecay
Ce-142,Ce-143,1.19e+05 s,β-,100.00%,1,Pr-143,13.57 d,5.91E-07,BD_Local,RadioactiveDecay
Ca-46,Ca-47,3.92e+05 s,β-,100.00%,1,Sc-47,2.89e+05 s,2.40E-06,BD_Local,BD_Local
Pd-110,Pd-111,1.40e+03 s,β-,99.76%,0.99756,Ag-111m,64.8 s,0.010696716,BD_Local,RadioactiveDecay
Pd-110,Pd-111,1.40e+03 s,β-,0.24%,0.0024368,Ag-111,6.42e+05 s,1.08E-06,BD_Local,BD_Local
Ru-104,Ru-105,1.60e+04 s,β-,100.00%,1,Rh-105,35.36 h,5.45E-06,BD_Local,RadioactiveDecay
Cd-114,Cd-115,3.85e+06 s,β-,100.00%,1,In-115m,4.486 h,4.29E-05,BD_Local,RadioactiveDecay
Xe-134,Xe-135,3.29e+04 s,β-,100.00%,1,Cs-135,7.26e+13 s,9.55E-15,BD_Local,BD_Local
Xe-136,Xe-137,2.29e+02 s,β-,100.00%,1,Cs-137,30.1671 y,7.28E-10,BD_Local,RadioactiveDecay
Zr-92,Zr-93,4.81e+13 s,β-,97.50%,0.975,Nb-93m,16.13 y,1.36E-09,BD_Local,RadioactiveDecay
Te-128,Te-129,2.90e+06 s,β-,100.00%,1,I-129,15.7 My,1.40E-15,BD_Local,RadioactiveDecay
Mo-100,Mo-101,8.77e+02 s,β-,100.00%,1,Tc-101,14.2 m,0.000813553,BD_Local,RadioactiveDecay
Te-130,Te-131,1.08e+05 s,β-,100.00%,1,I-131,8.02070 d,1.00E-06,BD_Local,RadioactiveDecay
Ge-76,Ge-77,4.08e+04 s,β-,100.00%,1,As-77,1.40e+05 s,4.96E-06,BD_Local,BD_Local
Sn-124,Sn-125,8.33e+05 s,β-,100.00%,1,Sb-125,8.71e+07 s,7.96E-09,BD_Local,BD_Local
Mo-98,Mo-99,2.37e+05 s,β-,87.73%,0.8773,Tc-99m,6.015 h,3.20E-05,BD_Local,RadioactiveDecay
Mo-98,Mo-99,2.37e+05 s,β-,12.27%,0.1227,Tc-99,2.17e+04 s,3.20E-05,BD_Local,BD_Local
Cd-116,Cd-117,8.97e+03 s,β-,91.51%,0.91507,In-117m,116.2 m,9.94E-05,BD_Local,RadioactiveDecay
Cd-116,Cd-117,8.97e+03 s,β-,8.49%,0.084933,In-117,43.2 m,0.000267418,BD_Local,RadioactiveDecay
Zr-94,Zr-95,5.55e+06 s,β-,98.92%,0.9892,Nb-95,34.991 d,2.29E-07,BD_Local,RadioactiveDecay
Zr-94,Zr-95,5.55e+06 s,β-,1.08%,0.010802,Nb-95m,3.61 d,2.22E-06,BD_Local,RadioactiveDecay
Se-82,Se-83,1.34e+03 s,β-,100.00%,1,Br-83,2.40 h,8.02E-05,BD_Local,RadioactiveDecay
Bi-209,Bi-210,4.33e+05 s,β-,100.00%,1,Po-210,138.376 d,5.80E-08,BD_Local,RadioactiveDecay
Zr-96,Zr-97,6.03e+04 s,β-,100.00%,1,Nb-97,72.1 m,0.000160228,BD_Local,RadioactiveDecay
Kr-86,Kr-87,4.58e+03 s,β-,100.00%,1,Rb-87,1.57e+18 s,4.42E-19,BD_Local,BD_Local
Eu-151,Eu-152m,3.35e+04 s,β-,73.00%,0.73,Gd-152,1.08E14 y,2.03E-22,,
